name,datatype,calculation_method,validation_method,domain_mapping
action,str,,must_be_provided,map_trade_action
quantity,Decimal,,must_be_provided,Trade.quantity
price,Decimal,,must_be_provided,Trade.price
trade_date,datetime.date,,must_be_provided,Trade.trade_date
currency,str,calc_currency,must_be_provided,map_instrument
calendar,str,calc_calendar,,
settle_date,datetime.date,calc_settle_date,must_be_provided,Trade.settle_date
commission,Decimal,calc_commission,must_be_provided,
fund,str,,must_be_provided,map_fund
trader,str,,,map_trader
analyst,str,,,map_analyst
broker,str,,,map_broker
clearer,str,,,map_clearer
sector,str,,,Portfolio.sector
strategy,str,,,Portfolio.strategy
instrument,str,,,map_instrument
